id,source,category,duration,daily_hours,invest_amount,invest_display,revenue_amount,revenue_display,has_main_job,failure_reasons,difficulties,free_text
84,pickply,플랫폼노동,1년 이상,3~5시간,30000000,"3,000만(30,000,000)",3000000,"300만(3,000,000)",예,실행력 부족,"시간 관리, 수익화 연결",돈벌려고 시간마련
85,pickply,콘텐츠_SNS,3~6개월,1~3시간,0,0,0,0,예,"실행력 부족, 마케팅 실패","고객 확보 (마케팅), 수익화 연결","블로그를 했는데 사람들이 뭘 좋아하는지, 그리고 그걸로 어떻게 수익을 내야하는지 잘 모르겠었다"
86,pickply,플랫폼노동,1년 이상,1~3시간,0,0,15000,"1만 5,000(15,000)",예,"실행력 부족, 시간 부족","시간 관리, 운영 지속성","주변 지인의 추천으로 앱테크를 시작했고 처음엔 수익이 잘 나는듯 하였으나, 점점 보상이 줄어듦.. 또 쉽게 할 수는 있지만 시간대비 보상이 적다보니 지속적으로 하기엔 어려움이 있었다.. 그래서 요즘은 가끔 생각나면 하는 중."
87,pickply,플랫폼노동,1년 이상,1~3시간,0,0,20000,"2만(20,000)",예,시간 부족,"수익화 연결, 경쟁 심화",본업만으로 생계유지가 힘들고 시간이 남아서 찾아보다가 부업을 시작했습니다 갈수록 해당 부업을 원하는 사람이 많아 앱테크는 포인트가 줄아들고 일은 지원한 만큼 뽑히지 않아 힘든 것 같습니다
88,pickply,디지털상품_지식판매,3~6개월,1~3시간,480,480,0,0,예,"실행력 부족, 마케팅 실패","수익화 연결, 운영 지속성",인스타그램보고 시작했는데 희망심어주기만하고 쉽다해놓고 막상해보니 어렵더라구요 그래서 하다가 포기했습니다..그사람은 환불당연히안되고걍돈만날렸죠 절대!!부업하지마세요
89,pickply,투자_재테크,6개월~1년,1~3시간,300,300,50,50,예,시장 조사 부족,"수익 구조 이해, 정보 부족",여윳돈이 생겨서 공부고 해볼겸 투자를 시작햐봤는데 생각보다 성격이랑 맞지않아서 번 돈에비해 마음고생을 너무 심하게했음
90,pickply,콘텐츠_SNS,6개월~1년,1시간 미만,0,0,0,0,예,"시장 조사 부족, 실행력 부족","정보 부족, 경쟁 심화",아기가 태어나서 돈이 쪼들렸기 때문에 부업을 고민하다가 시작하게 되었습니다. 블로그 시작했는데 수익성이 전혀 없고 시간만들어서 포기하게 되었습니다
91,pickply,플랫폼노동,1년 이상,1~3시간,0,0,300000,"30만(300,000)",예,"실행력 부족, 시간 부족","시간 관리, 수익화 연결, 경쟁 심화",본업으로는 가정경제 상황을 유지하기 어려워서 쉽게 시작할 수 있는 배달 서비스를 부업으로 시작
92,pickply,재능_프리랜서,6개월~1년,1시간 미만,0,0,20,20,예,실행력 부족,"고객 확보 (마케팅), 시간 관리",본업 외에 추가적인 수입을 원했으나 꾸준히 지속하기가 쉽지 않다.
93,pickply,투자_재테크,1년 이상,1~3시간,100000000,"1억(100,000,000)",800000,"80만(800,000)",예,자본 부족,"고객 확보 (마케팅), 시간 관리, 운영 지속성",수익이 일정치 않아서 계속 해야하는지에대한 의문과 불안함으로 계속 이어나가지 못함
94,pickply,투자_재테크,6개월~1년,1시간 미만,0,0,500000,"50만(500,000)",예,시장 조사 부족,"시간 관리, 수익화 연결, 운영 지속성",우연히 유튜브에서 보고 따라하기 시작했습니다 생각보다 적성에 맞아서 계속하게 되었습니다 수익적 한계가 아쉬움이 있어요
95,pickply,투자_재테크,6개월~1년,1시간 미만,25000000,"2,500만(25,000,000)",200000,"20만(200,000)",예,"시장 조사 부족, 실행력 부족","수익 구조 이해, 시간 관리, 정보 부족, 경쟁 심화","본업 수입 외 부가적인 수입으로 자산 증식 가속화를 꾀하려고 주식 투자를 시작했으나 시장 정보를 얻고 이를 해석해서 투자를 하기까지가 쉽지 않아 몇 차례 손해를 보기도 했습니다. 이후로는 좀 더 신중하게 접근하고 있지만 그래도 타인과 비슷하게, 더 밀도 있는 정보를 선점하는 것은 여전히 지난한 일인 것 같네요."
96,pickply,콘텐츠_SNS,1년 이상,1~3시간,0,0,3000,"3,000",예,마케팅 실패,운영 지속성,친구
97,pickply,콘텐츠_SNS,1년 이상,1~3시간,0,0,250000,"25만(250,000)",예,"마케팅 실패, 자본 부족","고객 확보 (마케팅), 수익화 연결, 정보 부족, 경쟁 심화","생활비 마련하고자...좀 여유러운삶을 위해서 정보부족,자본투입을 해야 이익창출이 되는데 자본도 부족하고...."
98,pickply,투자_재테크,1년 이상,1시간 미만,50000000,"5,000만(50,000,000)",10000,"1만(10,000)",예,"시장 조사 부족, 시간 부족","시간 관리, 수익화 연결",친구의 추천
99,pickply,플랫폼노동,1년 이상,1~3시간,50000,"5만(50,000)",60000,"6만(60,000)",아니오,실행력 부족,수익화 연결,자투리시간 활용을 하면서 부수익을 벌기위해 앱테크를 시작하였는데 투자한 시간에 비해 수익성이 너무 적어서 만족스럽지 못했고 힘들었음
100,pickply,온라인판매_이커머스,1년 이상,5시간 이상,500000,"50만(500,000)",500000,"50만(500,000)",예,"자본 부족, 원인을 모르겠음","운영 지속성, 경쟁 심화",유튜브 보던중 알고리즘으로 알게된 이후에 조금식 준비하고 시작했는데 경쟁고 심하고 이미 한물간 느낌
